('distance', 'color', 'timestamp')
(2550, -17, 1710999354.346735)
(2550, -15, 1710999354.370909)
(2550, -17, 1710999354.450292)
(2550, -16, 1710999354.533853)
(2550, -17, 1710999354.615035)
(2550, -15, 1710999354.700415)
(2550, -15, 1710999354.798952)
(2550, -11, 1710999354.900749)
(2550, -11, 1710999355.033149)
(2550, -11, 1710999355.118961)
(2550, -12, 1710999355.198368)
(2550, -13, 1710999355.259387)
(2550, -16, 1710999355.318184)
(2550, -18, 1710999355.374028)
(2550, -17, 1710999355.423128)
(2550, -18, 1710999355.478438)
(2550, -17, 1710999355.524534)
(2550, -17, 1710999355.575424)
(2550, -18, 1710999355.631488)
(2550, -17, 1710999355.688829)
(2550, -18, 1710999355.755)
(2550, -17, 1710999355.817471)
(2550, -17, 1710999355.881534)
(2550, -18, 1710999355.938656)
(2550, -19, 1710999355.983582)
(2550, -19, 1710999356.035058)
(2550, -20, 1710999356.098524)
(2550, -20, 1710999356.16225)
(2550, -19, 1710999356.213809)
(2550, -19, 1710999356.262927)
(2550, -19, 1710999356.320417)
(2550, -20, 1710999356.372026)
(2550, -20, 1710999356.422651)
(2550, -18, 1710999356.477903)
(2550, -18, 1710999356.532938)
(2550, -20, 1710999356.591982)
(2550, -20, 1710999356.64295)
(2550, -20, 1710999356.703524)
(2550, -18, 1710999356.756844)
(1795, -20, 1710999356.811195)
(2550, -19, 1710999356.865958)
(2550, -19, 1710999356.9478)
(2550, -18, 1710999356.995045)
(2550, -19, 1710999357.04285)
